게시글 id,이미지 본문
B00PGJGl-rb_0.jpg,"검은색의 내 방을 환하게 만드는 건, 너의 메시지 한 통이면 충분해, 이충우 "
B00xChhllVy_0.jpg,"걱정 마, 내가 제일 잘하는 거니까, 남겨지는 거, 상처받는 거, 그리고 참아내는 거, 이충우 "
