게시글 id,이미지 본문
B10mfxNlU2y_0.jpg,"너무 힘내려고 애쓰지 말아요. 지금도 충분히 잘하고 있어요. 다만, 지시지만 말아요. 그걸로 괜찮아요. 괜찮아요. <괜찮아온> 우진 - "
B13HRkCliRE_0.jpg,"난 분명히 즐거운데, 난 분명히 바쁘고 의미있게 살고 있는데, 난 분명히 허전하다. 거의 다 완성된 퍼즐처럼 비어 허전하고 굵은 실로 짜여진 촘촘하지 않은 스웨터처럼 찌르듯 파고드는 찬 바람에 시리다. 내가 뭔가를 더 채워널을 수 있을까 뭔가를 더 채워줄 네가 있는걸까 우진 - "
